obj_id,pc1,pc2,true_class,cluster_id
1237661971722404096,-2.691138236279052,-0.07036697777311282,GALAXY,0
1237661971728368640,1.2006956013863543,-0.9907409162364936,GALAXY,2
1237680272037839360,-1.6653385226177533,-0.4825626800167367,GALAXY,0
1237680272034759680,0.5415357031384059,-0.9947045647032091,STAR,2
1237680272035349248,1.7257822419401176,-0.8288652544175101,GALAXY,2
1237680272035415040,-0.48635220408443597,-0.5049622951250905,GALAXY,2
1237680272041247488,-0.3676267290938506,-0.7752943392866799,STAR,2
1237678858481369344,-2.378895266215404,-0.26520890383574725,GALAXY,0
1237678858452926720,1.5844639628319857,-0.545783115332423,GALAXY,2
1237678622245061632,3.8210324208129243,-0.3512301628188968,GALAXY,2
1237665534932353536,-0.9407159098232378,-0.03968581468942113,STAR,0
1237665534931632384,-0.9106404696745023,-0.0915191231447541,STAR,0
1237667430102139648,2.752924752700895,0.2771578352632834,GALAXY,2
1237663782589432832,0.6715213694804438,-0.712510096301014,GALAXY,2
1237662336799081728,0.8349342837533279,-0.18547381758571993,GALAXY,2
1237660961327939840,-0.6179152673173702,-0.5758513705594624,GALAXY,2
1237680272039936512,0.8674081013883589,-0.31935797576786173,GALAXY,2
1237662341087625728,-4.633484308081931,0.26141004105438603,GALAXY,0
1237662341093392896,-2.945198928573754,0.14421407523079552,GALAXY,0
1237662341085462784,-2.7863199483344196,-0.1140563803252114,GALAXY,0
1237650370481815808,-0.17169128688089363,-0.15259576648283352,STAR,2
1237650370486272000,-5.859068242865649,0.693630156534098,STAR,0
1237662341086969856,-4.391557482586194,0.3212048442566136,GALAXY,0
1237662341088542976,-1.9517043197881383,-0.41725463768856336,GALAXY,0
1237680241455726592,-3.65874250583882,0.09380459202975143,GALAXY,0
1237657589785493760,0.6162830087970919,1.6782844929347887,QSO,1
1237657589785952512,2.434140516930133,1.9810304436019297,QSO,1
1237680272038560512,0.8224908664675464,0.03217902328353061,GALAXY,2
1237678860076450304,2.500050684657819,2.473160577400864,QSO,1
1237678858457711360,0.37525564799723293,-0.40659537866841244,GALAXY,2
1237678858473832704,2.1413890932439896,-1.1636552435863505,GALAXY,2
1237663478724034816,-1.2547914230596218,0.13191101489475565,GALAXY,0
