class,fpr,tpr
STAR,0.603015,1.0
STAR,0.60804,1.0
STAR,0.613065,1.0
STAR,0.61809,1.0
STAR,0.623116,1.0
STAR,0.628141,1.0
STAR,0.633166,1.0
STAR,0.638191,1.0
STAR,0.643216,1.0
STAR,0.648241,1.0
STAR,0.653266,1.0
STAR,0.658291,1.0
STAR,0.663317,1.0
STAR,0.668342,1.0
STAR,0.673367,1.0
STAR,0.678392,1.0
STAR,0.683417,1.0
STAR,0.688442,1.0
STAR,0.693467,1.0
STAR,0.698492,1.0
STAR,0.703518,1.0
STAR,0.708543,1.0
STAR,0.713568,1.0
STAR,0.718593,1.0
STAR,0.723618,1.0
STAR,0.728643,1.0
STAR,0.733668,1.0
STAR,0.738693,1.0
STAR,0.743719,1.0
STAR,0.748744,1.0
STAR,0.753769,1.0
STAR,0.758794,1.0
STAR,0.763819,1.0
STAR,0.768844,1.0
STAR,0.773869,1.0
STAR,0.778894,1.0
STAR,0.78392,1.0
STAR,0.788945,1.0
STAR,0.79397,1.0
STAR,0.798995,1.0
STAR,0.80402,1.0
STAR,0.809045,1.0
STAR,0.81407,1.0
STAR,0.819095,1.0
STAR,0.824121,1.0
STAR,0.829146,1.0
STAR,0.834171,1.0
STAR,0.839196,1.0
STAR,0.844221,1.0
STAR,0.849246,1.0
STAR,0.854271,1.0
STAR,0.859296,1.0
STAR,0.864322,1.0
STAR,0.869347,1.0
STAR,0.874372,1.0
STAR,0.879397,1.0
STAR,0.884422,1.0
STAR,0.889447,1.0
STAR,0.894472,1.0
STAR,0.899497,1.0
STAR,0.904523,1.0
STAR,0.909548,1.0
STAR,0.914573,1.0
STAR,0.919598,1.0
STAR,0.924623,1.0
STAR,0.929648,1.0
STAR,0.934673,1.0
STAR,0.939698,1.0
STAR,0.944724,1.0
STAR,0.949749,1.0
STAR,0.954774,1.0
STAR,0.959799,1.0
STAR,0.964824,1.0
STAR,0.969849,1.0
STAR,0.974874,1.0
STAR,0.979899,1.0
STAR,0.984925,1.0
STAR,0.98995,1.0
STAR,0.994975,1.0
STAR,1.0,1.0
