class,u_g,g_r,r_i,i_z
GALAXY,-0.03423000000000087,0.5105900000000005,0.6462000000000003,-0.20236999999999838
GALAXY,2.4441000000000024,1.5899099999999997,1.0028000000000006,0.5748399999999982
GALAXY,-0.2875700000000023,1.8429099999999998,1.2208900000000007,0.6297999999999995
GALAXY,2.35877,1.721709999999998,0.6396200000000007,0.40485999999999933
GALAXY,0.22564000000000206,1.6200200000000002,0.89499,0.40754999999999697
GALAXY,1.9159799999999976,0.9295700000000018,0.43081999999999887,0.33035000000000103
GALAXY,1.0854,0.66235,0.343630000000001,0.27117000000000147
GALAXY,2.185859999999998,1.088440000000002,0.445059999999998,0.3441100000000006
STAR,1.04026,0.09590999999999994,0.023500000000002075,0.05830999999999875
STAR,1.4602600000000017,0.5638999999999985,0.1771799999999999,0.06838000000000122
GALAXY,1.6706499999999984,0.6906400000000001,0.3705999999999996,0.22141000000000055
GALAXY,2.7725299999999997,1.0540999999999983,0.4699799999999996,0.35548999999999964
GALAXY,1.9494899999999973,1.0108200000000025,0.4140999999999977,0.34086000000000105
QSO,0.2747300000000017,0.03541999999999845,0.3007400000000011,0.10202999999999918
QSO,-0.1347699999999996,-0.05857999999999919,-0.054639999999999134,0.6426999999999978
GALAXY,0.5659500000000008,0.9720399999999998,0.7335700000000003,0.44406000000000034
QSO,0.6842100000000002,0.2303999999999995,-0.019759999999998,0.5207300000000004
GALAXY,1.27243,1.7048700000000032,1.1611399999999996,0.4388699999999979
GALAXY,2.2315900000000006,2.7064500000000002,1.3717499999999987,0.6674200000000035
GALAXY,0.902949999999997,0.545810000000003,0.2762399999999978,0.10501000000000005
GALAXY,2.3005700000000004,1.2798899999999982,0.9199599999999997,0.38966999999999885
GALAXY,1.1994399999999992,0.47531000000000034,0.2635299999999994,0.17203999999999908
GALAXY,1.887279999999997,0.950330000000001,0.44974000000000025,0.3302700000000005
GALAXY,1.8204600000000006,0.935889999999997,0.40589000000000297,0.3504100000000001
STAR,1.0449699999999993,0.3935600000000008,0.185179999999999,0.053690000000003124
GALAXY,-1.2193599999999982,2.4284699999999972,1.0908499999999997,0.664080000000002
GALAXY,1.252399999999998,1.9009200000000028,0.8921799999999998,0.5928100000000001
GALAXY,3.127369999999999,1.7683500000000016,0.9948599999999992,0.4919000000000011
GALAXY,1.5757700000000021,1.4969000000000001,0.8739699999999999,0.46419999999999817
QSO,0.8433700000000002,0.07129000000000119,0.06308999999999898,-0.10506000000000171
GALAXY,0.8927699999999987,1.8153100000000002,1.2770299999999999,0.6514400000000009
QSO,3.398489999999999,1.88476,0.061060000000001224,-0.1503600000000027
QSO,0.685649999999999,-0.05607999999999791,-0.03322000000000003,0.4906399999999991
GALAXY,1.02656,1.3695899999999988,0.7397999999999989,0.2963900000000024
STAR,1.6669199999999975,0.28728000000000264,0.14302999999999955,-0.04265000000000185
QSO,0.08645999999999887,0.16902999999999935,0.051249999999999574,-0.01676999999999751
STAR,2.683350000000001,1.1286500000000004,0.33833999999999875,0.2087600000000016
GALAXY,2.922319999999999,0.43466000000000093,-0.05282000000000053,0.08450000000000202
GALAXY,1.2565200000000019,1.2514900000000004,0.2739699999999985,0.4508599999999987
GALAXY,-0.11372000000000071,0.8569600000000008,0.8867399999999996,0.6648999999999994
STAR,1.6590699999999998,0.7260300000000015,0.28583999999999676,0.14226000000000205
GALAXY,2.9155599999999993,1.7425500000000014,0.8276599999999981,0.4480800000000009
GALAXY,3.0508300000000013,1.7064899999999987,0.9129699999999978,0.3966200000000022
QSO,0.8364999999999974,0.0726300000000002,-0.018200000000000216,0.2811400000000006
STAR,1.26849,0.14173999999999864,0.03662999999999883,-0.03935999999999851
STAR,2.5548,1.5282,1.3400499999999997,1.2305600000000005
STAR,0.887990000000002,0.1014400000000002,0.023559999999999803,0.3972599999999993
QSO,0.435299999999998,0.16119000000000128,0.7141500000000001,0.7066499999999998
GALAXY,1.2694399999999995,0.474219999999999,0.3305800000000012,0.1848799999999997
GALAXY,1.1457700000000024,0.4463799999999978,0.3013300000000001,0.1327200000000026
GALAXY,1.4424700000000001,0.8576799999999984,0.42064000000000235,0.3506699999999974
STAR,0.4862499999999983,-0.06261999999999901,0.0019799999999996487,-0.6328800000000001
GALAXY,3.5100599999999993,1.7526100000000007,0.6644499999999987,0.39269000000000176
QSO,0.8923300000000012,1.99981,1.1412699999999987,0.814070000000001
GALAXY,-0.48645999999999745,0.5517799999999973,0.7187700000000028,0.8039999999999985
GALAXY,0.7157499999999999,-0.6409999999999982,0.3752600000000008,-1.5783400000000007
GALAXY,2.096119999999999,0.8499200000000009,0.4758099999999992,0.31081999999999965
QSO,0.08868999999999971,0.22523999999999944,-0.01186999999999827,-0.1228100000000012
STAR,2.5152900000000002,1.5403199999999977,1.9629399999999997,1.1372100000000032
STAR,0.2054399999999994,-0.39991999999999805,-0.23440000000000083,-0.512360000000001
GALAXY,2.38448,1.6719299999999997,0.6216200000000001,0.46833999999999776
GALAXY,5.49098,1.8602200000000018,0.6670899999999982,0.4033599999999993
GALAXY,1.8206600000000002,0.9030099999999983,0.4837999999999987,0.32475000000000165
QSO,1.0501700000000014,0.20930999999999855,-0.04860000000000042,0.46765000000000256
GALAXY,1.4469899999999996,1.4710900000000002,0.62669,0.42593000000000103
QSO,0.0872799999999998,0.8653799999999983,0.8886700000000012,0.1310299999999991
STAR,0.9291299999999971,0.3628200000000028,0.14283999999999963,0.04701000000000022
GALAXY,1.5882700000000014,1.1420899999999996,0.7176299999999998,0.5332000000000008
GALAXY,-0.022339999999999804,2.6730599999999995,1.0899800000000006,0.8953699999999998
GALAXY,4.700679999999998,1.6634799999999998,0.9233499999999992,0.5375399999999999
GALAXY,0.8344099999999983,1.0250100000000018,1.4090999999999987,0.6587899999999998
STAR,0.572890000000001,0.24938999999999822,0.07978999999999914,-0.04872999999999905
QSO,-0.12650999999999968,0.4139499999999998,0.10712999999999795,-0.09812999999999761
